,loss,accuracy
0,2.7705733714784895,0.1215686274509804
1,2.7630011367797853,0.023529411764705885
2,2.647071560450963,0.22745098039215686
3,2.3606035045215057,0.3254901960784314
4,2.1315774423735485,0.392156862745098
5,1.7684330718857901,0.49607843137254903
6,1.4545307506833756,0.3784313725490196
7,1.1101535734108516,0.5372549019607843
8,0.7354198220797946,0.7980392156862745
9,0.598598830316748,0.8490196078431372
10,0.4680055479066712,0.796078431372549
11,0.43728466834340785,0.7568627450980392
12,0.40219710130776687,0.7098039215686275
13,0.3949703631443636,0.8058823529411765
14,0.38233175212783477,0.7098039215686275
15,0.3281185681372881,0.8529411764705882
16,0.33498031447508503,0.7607843137254902
17,0.33754508318645615,0.803921568627451
18,0.34337980209716734,0.7254901960784315
19,0.34859706329447887,0.8372549019607842
